UIS.NIRA.1,UIS.XSPENDP.FDPUB.FNS,BAR.PRM.SCHL,BAR.SEC.SCHL,BAR.TER.SCHL,BAR.TOT.SCHL,BAR.NOED.15UP.ZS,BAR.PRM.CMPT.15UP.ZS,BAR.PRM.ICMP.15UP.ZS,BAR.SEC.CMPT.15UP.ZS,BAR.SEC.ICMP.15UP.ZS,BAR.TER.CMPT.15UP.ZS,BAR.TER.ICMP.15UP.ZS,BAR.NOED.1519.ZS,BAR.PRM.CMPT.1519.ZS,BAR.PRM.ICMP.1519.ZS,BAR.SEC.CMPT.1519.ZS,BAR.SEC.ICMP.1519.ZS,BAR.TER.CMPT.1519.ZS,BAR.TER.ICMP.1519.ZS,BAR.NOED.2024.ZS,BAR.PRM.CMPT.2024.ZS,BAR.PRM.ICMP.2024.ZS,BAR.SEC.CMPT.2024.ZS,BAR.SEC.ICMP.2024.ZS,BAR.TER.CMPT.2024.ZS,BAR.TER.ICMP.2024.ZS,BAR.NOED.25UP.ZS,BAR.PRM.CMPT.25UP.ZS,BAR.PRM.ICMP.25UP.ZS,BAR.SEC.CMPT.25UP.ZS,BAR.SEC.ICMP.25UP.ZS,BAR.TER.CMPT.25UP.ZS,BAR.TER.ICMP.25UP.ZS,BAR.NOED.2529.ZS,BAR.PRM.CMPT.2529.ZS,BAR.PRM.ICMP.2529.ZS,BAR.SEC.CMPT.2529.ZS,BAR.SEC.ICMP.2529.ZS,BAR.TER.CMPT.2529.ZS,BAR.TER.ICMP.2529.ZS,BAR.NOED.3034.ZS,BAR.PRM.CMPT.3034.ZS,BAR.PRM.ICMP.3034.ZS,BAR.SEC.CMPT.3034.ZS,BAR.SEC.ICMP.3034.ZS,BAR.TER.CMPT.3034.ZS,BAR.TER.ICMP.3034.ZS,BAR.NOED.3539.ZS,BAR.PRM.CMPT.3539.ZS,BAR.PRM.ICMP.3539.ZS,BAR.SEC.CMPT.3539.ZS,BAR.SEC.ICMP.3539.ZS,BAR.TER.CMPT.3539.ZS,BAR.TER.ICMP.3539.ZS,BAR.NOED.4044.ZS,BAR.PRM.CMPT.4044.ZS,BAR.PRM.ICMP.4044.ZS,BAR.SEC.CMPT.4044.ZS,BAR.SEC.ICMP.4044.ZS,BAR.TER.CMPT.4044.ZS,BAR.TER.ICMP.4044.ZS,BAR.NOED.4549.ZS,BAR.PRM.CMPT.4549.ZS,BAR.PRM.ICMP.4549.ZS,BAR.SEC.CMPT.4549.ZS,BAR.SEC.ICMP.4549.ZS,BAR.TER.CMPT.4549.ZS,BAR.TER.ICMP.4549.ZS,BAR.NOED.5054.ZS,BAR.PRM.CMPT.5054.ZS,BAR.PRM.ICMP.5054.ZS,BAR.SEC.CMPT.5054.ZS,BAR.SEC.ICMP.5054.ZS,BAR.TER.CMPT.5054.ZS,BAR.TER.ICMP.5054.ZS,BAR.NOED.5559.ZS,BAR.PRM.CMPT.5559.ZS,BAR.PRM.ICMP.5559.ZS,BAR.SEC.CMPT.5559.ZS,BAR.SEC.ICMP.5559.ZS,BAR.TER.CMPT.5559.ZS,BAR.TER.ICMP.5559.ZS,BAR.NOED.6064.ZS,BAR.PRM.CMPT.6064.ZS,BAR.PRM.ICMP.6064.ZS,BAR.SEC.CMPT.6064.ZS,BAR.SEC.ICMP.6064.ZS,BAR.TER.CMPT.6064.ZS,BAR.TER.ICMP.6064.ZS,BAR.NOED.6569.ZS,BAR.PRM.CMPT.6569.ZS,BAR.PRM.ICMP.6569.ZS,BAR.SEC.CMPT.6569.ZS,BAR.SEC.ICMP.6569.ZS,BAR.TER.CMPT.6569.ZS,BAR.TER.ICMP.6569.ZS,BAR.NOED.7074.ZS,BAR.PRM.CMPT.7074.ZS,BAR.PRM.ICMP.7074.ZS,BAR.SEC.CMPT.7074.ZS,BAR.SEC.ICMP.7074.ZS,BAR.TER.CMPT.7074.ZS,BAR.TER.ICMP.7074.ZS,BAR.NOED.75UP.ZS,BAR.PRM.CMPT.75UP.ZS,BAR.PRM.ICMP.75UP.ZS,BAR.SEC.CMPT.75UP.ZS,BAR.SEC.ICMP.75UP.ZS,BAR.TER.CMPT.75UP.ZS,BAR.TER.ICMP.75UP.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TERT.ZS,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NY.GDP.PCAP.PP.KD,NY.GDP.MKTP.PP.KD,SE.XPD.TOTL.GD.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.ZS,SL.TLF.INTM.ZS,SL.TLF.TOTL.IN,SP.POP.GROW,SI.POV.GINI
88.04305267,68.88765423,5.334666667,2.763333333,0.4993333333,8.596,1.08,16.82,31.97,17.39,48.21,9.66,18.74,0.1,5.8,14,12.16,71.28,1.28,14.62,0.1,8.1,14,20.85,45.98,19.37,39.92,1.4,20,38.4,16.87,44.3,9.58,15.9,0.3,13.5,22.7,20.82,45.99,19.85,31.01,0.3,13.5,22.7,21.79,53.47,14.76,23.53,0.8,18.8,32.4,20.83,51.19,9.79,15.61,0.8,18.8,32.4,19.88,52.39,8.64,14.41,0.9,20.7,38.9,17.73,47.08,7.87,13.12,0.9,20.7,38.9,17.1,47.54,7.31,12.66,1.8,23.8,49.4,13.84,38.48,5.96,10.32,1.8,23.8,49.4,13.82,38.43,5.98,10.37,4.6,27.9,62.5,8.71,25.86,4.05,7.04,4.6,27.9,62.5,8.16,25.83,4.07,7.07,4.6,27.9,62.5,7.57,26.06,3.94,6.84,13.22047428,31.59305006,525193392688,24629.21556,30115.28124,858875684380,6.200091389,76.43441598,41.45066667,73.33933258,16838398.58,1.3978316,32.59333333
88.04305267,68.88765423,5.334666667,2.763333333,0.4993333333,8.596,1.08,16.82,31.97,17.39,48.21,9.66,18.74,0.1,5.8,14,12.16,71.28,1.28,14.62,0.1,8.1,14,20.85,45.98,19.37,39.92,1.4,20,38.4,16.87,44.3,9.58,15.9,0.3,13.5,22.7,20.82,45.99,19.85,31.01,0.3,13.5,22.7,21.79,53.47,14.76,23.53,0.8,18.8,32.4,20.83,51.19,9.79,15.61,0.8,18.8,32.4,19.88,52.39,8.64,14.41,0.9,20.7,38.9,17.73,47.08,7.87,13.12,0.9,20.7,38.9,17.1,47.54,7.31,12.66,1.8,23.8,49.4,13.84,38.48,5.96,10.32,1.8,23.8,49.4,13.82,38.43,5.98,10.37,4.6,27.9,62.5,8.71,25.86,4.05,7.04,4.6,27.9,62.5,8.16,25.83,4.07,7.07,4.6,27.9,62.5,7.57,26.06,3.94,6.84,13.22047428,31.36183929,546819058426,25262.44135,30115.28124,858875684380,7.710189819,76.43441598,41.45066667,73.33933258,16838398.58,1.496599865,32.59333333
88.04305267,68.88765423,5.334666667,2.763333333,0.4993333333,8.596,1.08,16.82,31.97,17.39,48.21,9.66,18.74,0.1,5.8,14,12.16,71.28,1.28,14.62,0.1,8.1,14,20.85,45.98,19.37,39.92,1.4,20,38.4,16.87,44.3,9.58,15.9,0.3,13.5,22.7,20.82,45.99,19.85,31.01,0.3,13.5,22.7,21.79,53.47,14.76,23.53,0.8,18.8,32.4,20.83,51.19,9.79,15.61,0.8,18.8,32.4,19.88,52.39,8.64,14.41,0.9,20.7,38.9,17.73,47.08,7.87,13.12,0.9,20.7,38.9,17.1,47.54,7.31,12.66,1.8,23.8,49.4,13.84,38.48,5.96,10.32,1.8,23.8,49.4,13.82,38.43,5.98,10.37,4.6,27.9,62.5,8.71,25.86,4.05,7.04,4.6,27.9,62.5,8.16,25.83,4.07,7.07,4.6,27.9,62.5,7.57,26.06,3.94,6.84,13.22047428,31.36655045,576598034630,26216.59128,30115.28124,858875684380,7.634059906,76.43441598,41.45066667,73.33933258,16838398.58,1.595371383,32.59333333
88.04305267,68.88765423,5.334666667,2.763333333,0.4993333333,8.596,1.08,16.82,31.97,17.39,48.21,9.66,18.74,0.1,5.8,14,12.16,71.28,1.28,14.62,0.1,8.1,14,20.85,45.98,19.37,39.92,1.4,20,38.4,16.87,44.3,9.58,15.9,0.3,13.5,22.7,20.82,45.99,19.85,31.01,0.3,13.5,22.7,21.79,53.47,14.76,23.53,0.8,18.8,32.4,20.83,51.19,9.79,15.61,0.8,18.8,32.4,19.88,52.39,8.64,14.41,0.9,20.7,38.9,17.73,47.08,7.87,13.12,0.9,20.7,38.9,17.1,47.54,7.31,12.66,1.8,23.8,49.4,13.84,38.48,5.96,10.32,1.8,23.8,49.4,13.82,38.43,5.98,10.37,4.6,27.9,62.5,8.71,25.86,4.05,7.04,4.6,27.9,62.5,8.16,25.83,4.07,7.07,4.6,27.9,62.5,7.57,26.06,3.94,6.84,13.22047428,31.1294899,616753491791,27571.29253,30115.28124,858875684380,7.033770084,76.43441598,41.45066667,73.33933258,16838398.58,1.694139969,32.59333333
88.04305267,68.88765423,5.334666667,2.763333333,0.4993333333,8.596,1.08,16.82,31.97,17.39,48.21,9.66,18.74,0.1,5.8,14,12.16,71.28,1.28,14.62,0.1,8.1,14,20.85,45.98,19.37,39.92,1.4,20,38.4,16.87,44.3,9.58,15.9,0.3,13.5,22.7,20.82,45.99,19.85,31.01,0.3,13.5,22.7,21.79,53.47,14.76,23.53,0.8,18.8,32.4,20.83,51.19,9.79,15.61,0.8,18.8,32.4,19.88,52.39,8.64,14.41,0.9,20.7,38.9,17.73,47.08,7.87,13.12,0.9,20.7,38.9,17.1,47.54,7.31,12.66,1.8,23.8,49.4,13.84,38.48,5.96,10.32,1.8,23.8,49.4,13.82,38.43,5.98,10.37,4.6,27.9,62.5,8.71,25.86,4.05,7.04,4.6,27.9,62.5,8.16,25.83,4.07,7.07,4.6,27.9,62.5,7.57,26.06,3.94,6.84,13.22047428,30.71697044,639517786996,28080.94072,30115.28124,858875684380,6.706729889,76.43441598,41.45066667,73.33933258,16838398.58,1.792904339,32.59333333
88.04305267,68.88765423,5.327333333,3.122,0.6006666667,9.049333333,1.43,10.75,24.27,18.92,51.57,12.73,22.73,0.4,4.5,7.3,13.12,77.52,1.29,14.78,0.5,3.1,6.2,21.85,48.55,21.72,44.75,1.8,12.2,30.7,18.37,47.16,12.62,20.34,0.5,5.4,13,20.79,46.3,25.73,40.2,0.5,5.4,13,23.19,51.67,22.3,34.83,1,10,25.7,20.39,50.9,14.05,22.4,1,10,25.7,22.63,56.53,10.52,16.77,1.4,14.2,35,18.77,50.66,7.75,12.94,1.4,14.2,35,18.72,50.63,7.77,12.97,2,17.1,41.6,16.03,45.61,6.23,10.79,2,17.1,41.6,16.01,45.56,6.26,10.84,5.5,19.9,53.3,11.68,33.24,4.59,7.96,5.5,19.9,53.3,10.85,33.2,4.61,8,5.5,19.9,53.3,10.08,33.3,4.55,7.9,13.22047428,31.43102074,651176024411,28057.04789,30115.28124,858875684380,6.438020229,76.43441598,41.45066667,73.33933258,16838398.58,1.891677995,33.3
88.04305267,68.88765423,5.327333333,3.122,0.6006666667,9.049333333,1.43,10.75,24.27,18.92,51.57,12.73,22.73,0.4,4.5,7.3,13.12,77.52,1.29,14.78,0.5,3.1,6.2,21.85,48.55,21.72,44.75,1.8,12.2,30.7,18.37,47.16,12.62,20.34,0.5,5.4,13,20.79,46.3,25.73,40.2,0.5,5.4,13,23.19,51.67,22.3,34.83,1,10,25.7,20.39,50.9,14.05,22.4,1,10,25.7,22.63,56.53,10.52,16.77,1.4,14.2,35,18.77,50.66,7.75,12.94,1.4,14.2,35,18.72,50.63,7.77,12.97,2,17.1,41.6,16.03,45.61,6.23,10.79,2,17.1,41.6,16.01,45.56,6.26,10.84,5.5,19.9,53.3,11.68,33.24,4.59,7.96,5.5,19.9,53.3,10.85,33.2,4.61,8,5.5,19.9,53.3,10.08,33.3,4.55,7.9,13.22047428,31.43799973,685032635305,29128.01409,30115.28124,858875684380,6.714310169,76.43441598,41.45066667,73.33933258,16838398.58,1.322595092,33.15
88.04305267,68.88765423,5.327333333,3.122,0.6006666667,9.049333333,1.43,10.75,24.27,18.92,51.57,12.73,22.73,0.4,4.5,7.3,13.12,77.52,1.29,14.78,0.5,3.1,6.2,21.85,48.55,21.72,44.75,1.8,12.2,30.7,18.37,47.16,12.62,20.34,0.5,5.4,13,20.79,46.3,25.73,40.2,0.5,5.4,13,23.19,51.67,22.3,34.83,1,10,25.7,20.39,50.9,14.05,22.4,1,10,25.7,22.63,56.53,10.52,16.77,1.4,14.2,35,18.77,50.66,7.75,12.94,1.4,14.2,35,18.72,50.63,7.77,12.97,2,17.1,41.6,16.03,45.61,6.23,10.79,2,17.1,41.6,16.01,45.56,6.26,10.84,5.5,19.9,53.3,11.68,33.24,4.59,7.96,5.5,19.9,53.3,10.85,33.2,4.61,8,5.5,19.9,53.3,10.08,33.3,4.55,7.9,13.22047428,29.61134911,708722643529,29783.26792,30115.28124,858875684380,6.723080158,76.43441598,41.45066667,73.33933258,16838398.58,1.175141392,3.30E+01
88.04305267,68.88765423,5.327333333,3.122,0.6006666667,9.049333333,1.43,10.75,24.27,18.92,51.57,12.73,22.73,0.4,4.5,7.3,13.12,77.52,1.29,14.78,0.5,3.1,6.2,21.85,48.55,21.72,44.75,1.8,12.2,30.7,18.37,47.16,12.62,20.34,0.5,5.4,13,20.79,46.3,25.73,40.2,0.5,5.4,13,23.19,51.67,22.3,34.83,1,10,25.7,20.39,50.9,14.05,22.4,1,10,25.7,22.63,56.53,10.52,16.77,1.4,14.2,35,18.77,50.66,7.75,12.94,1.4,14.2,35,18.72,50.63,7.77,12.97,2,17.1,41.6,16.03,45.61,6.23,10.79,2,17.1,41.6,16.01,45.56,6.26,10.84,5.5,19.9,53.3,11.68,33.24,4.59,7.96,5.5,19.9,53.3,10.85,33.2,4.61,8,5.5,19.9,53.3,10.08,33.3,4.55,7.9,13.22047428,29.07323074,736742640055,30651.63255,30115.28124,858875684380,7.099229813,76.43441598,41.45066667,73.33933258,16838398.58,1.003520715,32.85
88.04305267,68.88765423,5.327333333,3.122,0.6006666667,9.049333333,1.43,10.75,24.27,18.92,51.57,12.73,22.73,0.4,4.5,7.3,13.12,77.52,1.29,14.78,0.5,3.1,6.2,21.85,48.55,21.72,44.75,1.8,12.2,30.7,18.37,47.16,12.62,20.34,0.5,5.4,13,20.79,46.3,25.73,40.2,0.5,5.4,13,23.19,51.67,22.3,34.83,1,10,25.7,20.39,50.9,14.05,22.4,1,10,25.7,22.63,56.53,10.52,16.77,1.4,14.2,35,18.77,50.66,7.75,12.94,1.4,14.2,35,18.72,50.63,7.77,12.97,2,17.1,41.6,16.03,45.61,6.23,10.79,2,17.1,41.6,16.01,45.56,6.26,10.84,5.5,19.9,53.3,11.68,33.24,4.59,7.96,5.5,19.9,53.3,10.85,33.2,4.61,8,5.5,19.9,53.3,10.08,33.3,4.55,7.9,13.22047428,30.57821083,764775129365,31502.0443,30115.28124,858875684380,6.725389957,76.43441598,41.45066667,73.33933258,16838398.58,0.9976693601,32.7
